Numero_de_membre     date_inscription      en_ordre
        786         21-10-2005            non        
        279         4-1-2015              non        
        248         3-4-1996              non        
        174         3-4-2009              non        
        814         23-6-1990             non        
        428         24-3-2005             non        
        203         11-9-2009             non        
        920         28-8-1993             non        
        562         22-9-1990             non        
        850         17-3-1990             non        
        142         16-9-1997             non        
         75         22-8-2007             non        
        590         1-5-2008              non        
         12         21-2-1993             non        
        437         14-9-2017             non        
        960         14-11-2001            non       
        601         5-9-2013              non       
        657         22-1-1992             non       
        453         12-8-1992             non       
        217         25-10-2008            non       
        227         10-3-2006             non       
        727         23-11-1997            non       
        876         21-11-1994            non       
        705         22-2-1995             non       
        493         28-12-2010            non       
        960         14-11-2001            non       
        601         5-9-2013              non       
        657         22-1-1992             non       
        453         12-8-1992             non       
        217         25-10-2008            non       
        227         10-3-2006             non       
        727         23-11-1997            non       
        876         21-11-1994            non       
        705         22-2-1995             non       
        493         28-12-2010            non       
