Numero_de_membre     date_inscription      en_ordre
        338         22-10-2000            oui        
        960         14-11-2001            non        
        601         5-9-2013              non        
        769         24-4-1994             oui        
        657         22-1-1992             non        
        675         8-2-2020              oui        
        108         3-2-2003              oui        
        453         12-8-1992             non        
        217         25-10-2008            non        
        227         10-3-2006             non        
        727         23-11-1997            non        
        729         18-11-2018            oui        
        876         21-11-1994            non        
        705         22-2-1995             non        
        493         28-12-2010            non        
        289         17-3-2012             oui        
        565         25-9-2017             oui        
        612         10-8-2020             oui        
        899         4-10-2010             oui        
        986         12-12-1993            non        
